audit_category,check_id,check,page_template_scope,evidence_url_or_screenshot,result_pass_partial_fail_na,severity,revenue_risk,affected_url_count,owner,effort,dependency,recommended_fix,validation_method,rollback_requirement,due_date,status,reviewer_notes
Evidence & Audit Scope,TSA-001,Production (not staging/localhost) is the environment being audited; confirm via response headers or robots.txt diff.,Site-wide,Screenshot of environment + robots.txt,[Fill: Pass/Partial/Fail/N/A],Critical,High,[Count],[Assign owner],S,None,Re-point crawler and manual checks at the live production host.,Diff staging vs. production robots.txt and headers,No,[Set date],[Not started],[Reviewer notes]
Evidence & Audit Scope,TSA-002,"Representative URL sample is drawn from every page template (home, category, product/service, article, location), not domain-wide only.",Site-wide,Crawl export with template tagging,[Fill: Pass/Partial/Fail/N/A],High,Medium,[Count],[Assign owner],S,None,Tag crawl export by template before analysis; re-sample under-represented templates.,Confirm sample count per template ≥ statistically useful minimum,No,[Set date],[Not started],[Reviewer notes]
Evidence & Audit Scope,TSA-003,"Baseline metrics are recorded before remediation: index coverage, impressions, clicks, and Core Web Vitals status.",Site-wide,"Search Console + CWV export, dated",[Fill: Pass/Partial/Fail/N/A],High,Medium,[Count],[Assign owner],S,None,Export and timestamp baseline reports before any fix ships.,Compare post-fix reports against this dated baseline,No,[Set date],[Not started],[Reviewer notes]
Evidence & Audit Scope,TSA-004,"Crawl data is corroborated with at least one additional source (Search Console index coverage, and server logs where available).",Site-wide,Crawler export + Search Console export,[Fill: Pass/Partial/Fail/N/A],Medium,Medium,[Count],[Assign owner],M,Search Console access; log access if available,Cross-reference crawler-reported status codes against Search Console and logs.,Discrepancy count between sources trends to zero,No,[Set date],[Not started],[Reviewer notes]
Evidence & Audit Scope,TSA-005,"Every finding in this workbook links to a URL, screenshot, or report line rather than a subjective note.",Site-wide,"This workbook, Evidence URL column populated",[Fill: Pass/Partial/Fail/N/A],Medium,Low,[Count],[Assign owner],S,None,Reject any row without a populated Evidence URL or screenshot column.,Spot-check 10% of rows for evidence presence,No,[Set date],[Not started],[Reviewer notes]
Crawlability,TSA-006,"robots.txt does not block CSS, JS, or sections required for rendering or indexing.",Site-wide,robots.txt + URL Inspection rendered view,[Fill: Pass/Partial/Fail/N/A],Critical,High,[Count],[Assign owner],S,Dev access to edit robots.txt,Remove disallow rules blocking required assets or sections.,Re-fetch robots.txt; re-render URL in URL Inspection,Yes — keep prior robots.txt version,[Set date],[Not started],[Reviewer notes]
Crawlability,TSA-007,"HTTP status codes are correct per URL state: 200 for live, 301 for moved, 404/410 for removed, no soft-404s.",All templates,Crawler status-code report,[Fill: Pass/Partial/Fail/N/A],Critical,High,[Count],[Assign owner],M,None,Fix server-side status codes; replace soft-404s with true 404/410 or a real redirect.,Re-crawl and confirm status-code distribution,Yes — verify redirect map before deploy,[Set date],[Not started],[Reviewer notes]
Crawlability,TSA-008,Redirect chains are collapsed to a single hop; no redirect loops exist.,Site-wide,Crawler redirect-chain report,[Fill: Pass/Partial/Fail/N/A],High,Medium,[Count],[Assign owner],M,Server/CDN redirect rules,Point each redirect directly at the final destination URL.,Re-crawl and confirm chain length = 1,Yes — keep prior redirect map,[Set date],[Not started],[Reviewer notes]
Crawlability,TSA-009,"XML sitemap(s) list only canonical, indexable, 200-status URLs, and are referenced in robots.txt.",Site-wide,Sitemap file + Search Console sitemap report,[Fill: Pass/Partial/Fail/N/A],High,High,[Count],[Assign owner],S,Sitemap generation pipeline,"Regenerate sitemap excluding non-canonical, noindex, and non-200 URLs.",Search Console sitemap report shows 0 excluded-by-mistake URLs,No,[Set date],[Not started],[Reviewer notes]
Crawlability,TSA-010,Sitemap URLs are all crawlable and return 200 within a normal crawl budget (no orphaned or blocked sitemap entries).,Site-wide,Crawler cross-check of sitemap vs. crawl,[Fill: Pass/Partial/Fail/N/A],Medium,Medium,[Count],[Assign owner],M,TSA-009 sitemap regeneration,"Remove or fix sitemap entries that 404, redirect, or are blocked.",Cross-check sitemap URLs against crawl report,No,[Set date],[Not started],[Reviewer notes]
