"article_id","batch_slug","batch_title","priority","wave","role","cluster","title","slug","primary_keyword","money_page","claude_brief_file","claude_output_status","validation_status","converted_backfill_file","import_status","publish_status","live_url","post_publish_qa_status","notes"
"TC-001","batch-01-reconcile","Already Started / Reconcile","1","Wave 1","Pillar","Search Growth Strategy","SEO in 2026: How Google, AI Search, and Revenue Growth Work Together","seo-in-2026-how-google-ai-search-and-revenue-growth-work-together","SEO 2026","/services/seo-agency","batch-01-reconcile.md","received","passed","src/content/backfill/core56-batch-01.ts","imported-draft","published","https://taskcover.com/insights/seo-guides/seo-2026-google-ai-search-revenue-growth","passed","High authority/proof requirement Batch 01 existing draft reconciled through backfill validation and imported as EN draft on 2026-07-11. | Published to production DB and smoke-checked on taskcover.com on 2026-07-11."
"TC-006","batch-01-reconcile","Already Started / Reconcile","6","Wave 1","Pillar","Content & Topical Authority","How to Create Content That Earns Rankings, AI Citations, and Leads","how-to-create-content-that-earns-rankings-ai-citations-and-leads","content for AI search and SEO","/services/content-marketing","batch-01-reconcile.md","received","passed","src/content/backfill/core56-batch-01.ts","imported-draft","published","https://taskcover.com/insights/content-authority/content-rankings-ai-citations-leads","passed","High authority/proof requirement Batch 01 existing draft reconciled through backfill validation and imported as EN draft on 2026-07-11. | Published to production DB and smoke-checked on taskcover.com on 2026-07-11."
"TC-007","batch-02-ai-search-core","Wave 1 AI Search Core","7","Wave 1","Pillar","AI Search / GEO","Generative Engine Optimization (GEO): A Practical Guide for Business Growth","generative-engine-optimization-geo-a-practical-guide-for-business-growth","generative engine optimization","/services/ai-search-optimization","batch-02-ai-search-core.md","received","passed","src/content/backfill/core56-batch-02-ai-search-core.ts","imported-draft","published","https://taskcover.com/insights/ai-search/generative-engine-optimization-geo-a-practical-guide-for-business-growth","passed","Fast-changing engines; avoid unsupported claims and single-run measurement | Batch 02 Claude output validated, converted, and imported as EN draft on 2026-07-11. | Published to production DB and smoke-checked on taskcover.com on 2026-07-11."
"TC-002","batch-02-ai-search-core","Wave 1 AI Search Core","2","Wave 1","Linkable Asset","AI Search / GEO","How to Measure AI Search Visibility Across ChatGPT, Gemini, Perplexity, and Google","how-to-measure-ai-search-visibility-across-chatgpt-gemini-perplexity-and-go","measure AI search visibility","/services/ai-search-optimization","batch-02-ai-search-core.md","received","passed","src/content/backfill/core56-batch-02-ai-search-core.ts","imported-draft","published","https://taskcover.com/insights/ai-search/how-to-measure-ai-search-visibility-across-chatgpt-gemini-perplexity-and-go","passed","Fast-changing engines; avoid unsupported claims and single-run measurement | Batch 02 Claude output validated, converted, and imported as EN draft on 2026-07-11. | Published to production DB and smoke-checked on taskcover.com on 2026-07-11."
"TC-008","batch-02-ai-search-core","Wave 1 AI Search Core","8","Wave 1","Supporting Cluster","AI Search / GEO","GEO vs SEO vs AEO: What Is Different, What Overlaps, and What Should You Fund?","geo-vs-seo-vs-aeo-what-is-different-what-overlaps-and-what-should-you-fund","GEO vs SEO vs AEO","/services/ai-search-optimization","batch-02-ai-search-core.md","received","passed","src/content/backfill/core56-batch-02-ai-search-core.ts","imported-draft","published","https://taskcover.com/insights/ai-search/geo-vs-seo-vs-aeo-what-is-different-what-overlaps-and-what-should-you-fund","passed","Fast-changing engines; avoid unsupported claims and single-run measurement | Batch 02 Claude output validated, converted, and imported as EN draft on 2026-07-11. | Published to production DB and smoke-checked on taskcover.com on 2026-07-11."
"TC-009","batch-02-ai-search-core","Wave 1 AI Search Core","9","Wave 1","Supporting Cluster","AI Search / GEO","How to Get Your Brand Mentioned in ChatGPT, Gemini, Perplexity, and Google AI Results","how-to-get-your-brand-mentioned-in-chatgpt-gemini-perplexity-and-google-ai","how to appear in ChatGPT results","/services/ai-search-optimization","batch-02-ai-search-core.md","received","passed","src/content/backfill/core56-batch-02-ai-search-core.ts","imported-draft","published","https://taskcover.com/insights/ai-search/how-to-get-your-brand-mentioned-in-chatgpt-gemini-perplexity-and-google-ai","passed","Fast-changing engines; avoid unsupported claims and single-run measurement | Batch 02 Claude output validated, converted, and imported as EN draft on 2026-07-11. | Published to production DB and smoke-checked on taskcover.com on 2026-07-11."
"TC-010","batch-02-ai-search-core","Wave 1 AI Search Core","10","Wave 1","Linkable Asset","AI Search / GEO","AI Search Visibility Audit: A 30-Point Checklist for Brands","ai-search-visibility-audit-a-30-point-checklist-for-brands","AI search visibility audit","/services/seo-audit","batch-02-ai-search-core.md","received","passed","src/content/backfill/core56-batch-02-ai-search-core.ts","imported-draft","published","https://taskcover.com/insights/ai-search/ai-search-visibility-audit-a-30-point-checklist-for-brands","passed","Fast-changing engines; avoid unsupported claims and single-run measurement | Batch 02 Claude output validated, converted, and imported as EN draft on 2026-07-11. | Published to production DB and smoke-checked on taskcover.com on 2026-07-11."
"TC-003","batch-03-wave1-search-buying-strategy","Wave 1 Search Buying And Strategy","3","Wave 1","Linkable Asset","Technical SEO & Audit","Technical SEO Audit Checklist for Growing Websites","technical-seo-audit-checklist-for-growing-websites","technical SEO audit checklist","/services/technical-seo","batch-03-wave1-search-buying-strategy.md","received","passed","src/content/backfill/core56-batch-03-wave1-search-buying-strategy.ts","imported-draft","published","https://taskcover.com/insights/technical-seo/technical-seo-audit-checklist-for-growing-websites","passed","Exact SERP intent and competitor-gap validation required | Batch 03 Claude output validated, converted, and imported as EN draft on 2026-07-11. | Published to production DB and smoke-checked on taskcover.com on 2026-07-11."
"TC-004","batch-03-wave1-search-buying-strategy","Wave 1 Search Buying And Strategy","4","Wave 1","Supporting Cluster","Search Growth Strategy","SEO vs PPC: How to Build a Search Growth System Instead of Choosing One Channel","seo-vs-ppc-how-to-build-a-search-growth-system-instead-of-choosing-one-chan","SEO vs PPC","/services/seo-agency","batch-03-wave1-search-buying-strategy.md","received","passed","src/content/backfill/core56-batch-03-wave1-search-buying-strategy.ts","imported-draft","published","https://taskcover.com/insights/seo-guides/seo-vs-ppc-how-to-build-a-search-growth-system-instead-of-choosing-one-chan","passed","Exact SERP intent and competitor-gap validation required | Batch 03 Claude output validated, converted, and imported as EN draft on 2026-07-11. | Published to production DB and smoke-checked on taskcover.com on 2026-07-11."
"TC-005","batch-03-wave1-search-buying-strategy","Wave 1 Search Buying And Strategy","5","Wave 1","Industry / Market Guide","International SEO","International SEO for the USA, Canada, and Australia","international-seo-for-the-usa-canada-and-australia","international SEO USA Canada Australia","/services/international-seo","batch-03-wave1-search-buying-strategy.md","received","passed","src/content/backfill/core56-batch-03-wave1-search-buying-strategy.ts","imported-draft","published","https://taskcover.com/insights/local-international-seo/international-seo-for-the-usa-canada-and-australia","passed","High authority/proof requirement | Batch 03 Claude output validated, converted, and imported as EN draft on 2026-07-11. | Published to production DB and smoke-checked on taskcover.com on 2026-07-11."
"TC-011","batch-03-wave1-search-buying-strategy","Wave 1 Search Buying And Strategy","11","Wave 1","Supporting Cluster","SEO Buying & Strategy","How to Choose an SEO Agency: A Due-Diligence Framework for Founders and Marketing Leaders","how-to-choose-an-seo-agency-a-due-diligence-framework-for-founders-and-mark","how to choose an SEO agency","/services/seo-agency","batch-03-wave1-search-buying-strategy.md","received","passed","src/content/backfill/core56-batch-03-wave1-search-buying-strategy.ts","imported-draft","published","https://taskcover.com/insights/seo-guides/how-to-choose-an-seo-agency-a-due-diligence-framework-for-founders-and-mark","passed","Exact SERP intent and competitor-gap validation required | Batch 03 Claude output validated, converted, and imported as EN draft on 2026-07-11. | Published to production DB and smoke-checked on taskcover.com on 2026-07-11."
"TC-012","batch-03-wave1-search-buying-strategy","Wave 1 Search Buying And Strategy","12","Wave 1","Supporting Cluster","SEO Buying & Strategy","SEO Agency Pricing: What SEO Costs in the USA, Canada, and Australia","seo-agency-pricing-what-seo-costs-in-the-usa-canada-and-australia","SEO agency pricing","/services/seo-agency","batch-03-wave1-search-buying-strategy.md","received","passed","src/content/backfill/core56-batch-03-wave1-search-buying-strategy.ts","imported-draft","published","https://taskcover.com/insights/seo-guides/seo-agency-pricing-what-seo-costs-in-the-usa-canada-and-australia","passed","Exact SERP intent and competitor-gap validation required | Batch 03 Claude output validated, converted, and imported as EN draft on 2026-07-11. | Published to production DB and smoke-checked on taskcover.com on 2026-07-11."
"TC-013","batch-03-wave1-search-buying-strategy","Wave 1 Search Buying And Strategy","13","Wave 1","Supporting Cluster","SEO Buying & Strategy","How Long Does SEO Take? A 30-, 90-, and 180-Day Milestone Framework","how-long-does-seo-take-a-30-90-and-180-day-milestone-framework","how long does SEO take","/services/seo-agency","batch-03-wave1-search-buying-strategy.md","received","passed","src/content/backfill/core56-batch-03-wave1-search-buying-strategy.ts","imported-draft","published","https://taskcover.com/insights/seo-guides/how-long-does-seo-take-a-30-90-and-180-day-milestone-framework","passed","Exact SERP intent and competitor-gap validation required | Batch 03 Claude output validated, converted, and imported as EN draft on 2026-07-11. | Published to production DB and smoke-checked on taskcover.com on 2026-07-11."
"TC-014","batch-04-measurement-technical-seo","Measurement And Technical SEO","14","Wave 2","Linkable Asset","Measurement & Reporting","SEO KPIs That Matter: Leads, Revenue, Visibility, Share of Search, and AI Mentions","seo-kpis-that-matter-leads-revenue-visibility-share-of-search-and-ai-mentio","SEO KPIs","/services/seo-agency","batch-04-measurement-technical-seo.md","received","passed","src/content/backfill/core56-batch-04-measurement-technical-seo.ts","imported-draft","published","https://taskcover.com/insights/seo-guides/seo-kpis-that-matter-leads-revenue-visibility-share-of-search-and-ai-mentio","passed","Exact SERP intent and competitor-gap validation required | Batch 04 Claude output validated, converted, and imported as EN draft on 2026-07-11. | Published to production DB and smoke-checked on taskcover.com on 2026-07-11."
"TC-016","batch-04-measurement-technical-seo","Measurement And Technical SEO","16","Wave 2","Pillar","Technical SEO & Audit","JavaScript SEO and Next.js SEO: Crawlability, Rendering, Metadata, and Indexation","javascript-seo-and-next-js-seo-crawlability-rendering-metadata-and-indexati","Next.js SEO","/services/technical-seo","batch-04-measurement-technical-seo.md","received","passed","src/content/backfill/core56-batch-04-measurement-technical-seo.ts","imported-draft","published","https://taskcover.com/insights/technical-seo/javascript-seo-and-next-js-seo-crawlability-rendering-metadata-and-indexati","passed","High authority/proof requirement | Batch 04 Claude output validated, converted, and imported as EN draft on 2026-07-11. | Published to production DB and smoke-checked on taskcover.com on 2026-07-11."
"TC-017","batch-04-measurement-technical-seo","Measurement And Technical SEO","17","Wave 2","Supporting Cluster","Technical SEO & Audit","Core Web Vitals for SEO and Conversion: What to Fix First","core-web-vitals-for-seo-and-conversion-what-to-fix-first","Core Web Vitals SEO","/services/technical-seo","batch-04-measurement-technical-seo.md","received","passed","src/content/backfill/core56-batch-04-measurement-technical-seo.ts","imported-draft","published","https://taskcover.com/insights/technical-seo/core-web-vitals-for-seo-and-conversion-what-to-fix-first","passed","Exact SERP intent and competitor-gap validation required | Batch 04 Claude output validated, converted, and imported as EN draft on 2026-07-11. | Published to production DB and smoke-checked on taskcover.com on 2026-07-11."
"TC-018","batch-04-measurement-technical-seo","Measurement And Technical SEO","18","Wave 2","Linkable Asset","Technical SEO & Audit","Website Migration SEO Checklist: Redesigns, Replatforming, and Domain Moves","website-migration-seo-checklist-redesigns-replatforming-and-domain-moves","website migration SEO checklist","/services/technical-seo","batch-04-measurement-technical-seo.md","received","passed","src/content/backfill/core56-batch-04-measurement-technical-seo.ts","imported-draft","published","https://taskcover.com/insights/technical-seo/website-migration-seo-checklist-redesigns-replatforming-and-domain-moves","passed","Exact SERP intent and competitor-gap validation required | Batch 04 Claude output validated, converted, and imported as EN draft on 2026-07-11. | Published to production DB and smoke-checked on taskcover.com on 2026-07-11."
"TC-031","batch-04-measurement-technical-seo","Measurement And Technical SEO","31","Wave 2","Pillar","Technical SEO & Audit","Crawlability and Indexation: A Complete Diagnostic Framework","crawlability-and-indexation-a-complete-diagnostic-framework","crawlability and indexation","/services/technical-seo","batch-04-measurement-technical-seo.md","received","passed","src/content/backfill/core56-batch-04-measurement-technical-seo.ts","imported-draft","published","https://taskcover.com/insights/technical-seo/crawlability-and-indexation-a-complete-diagnostic-framework","passed","High authority/proof requirement | Batch 04 Claude output validated, converted, and imported as EN draft on 2026-07-11. | Published to production DB and smoke-checked on taskcover.com on 2026-07-11."
"TC-032","batch-04-measurement-technical-seo","Measurement And Technical SEO","32","Wave 2","Supporting Cluster","Technical SEO & Audit","Canonical Tags, Duplicate Content, Pagination, and URL Parameters: A Practical SEO Guide","canonical-tags-duplicate-content-pagination-and-url-parameters-a-practical","canonical tags duplicate content","/services/technical-seo","batch-04-measurement-technical-seo.md","received","passed","src/content/backfill/core56-batch-04-measurement-technical-seo.ts","imported-draft","published","https://taskcover.com/insights/technical-seo/canonical-tags-duplicate-content-pagination-and-url-parameters-a-practical","passed","Exact SERP intent and competitor-gap validation required | Batch 04 Claude output validated, converted, and imported as EN draft on 2026-07-11. | Published to production DB and smoke-checked on taskcover.com on 2026-07-11."
"TC-033","batch-04-measurement-technical-seo","Measurement And Technical SEO","33","Wave 2","Supporting Cluster","Technical SEO & Audit","SEO Log File Analysis: How to See What Search Bots Actually Crawl","seo-log-file-analysis-how-to-see-what-search-bots-actually-crawl","SEO log file analysis","/services/technical-seo","batch-04-measurement-technical-seo.md","received","passed","src/content/backfill/core56-batch-04-measurement-technical-seo.ts","imported-draft","published","https://taskcover.com/insights/technical-seo/seo-log-file-analysis-how-to-see-what-search-bots-actually-crawl","passed","Exact SERP intent and competitor-gap validation required | Batch 04 Claude output validated, converted, and imported as EN draft on 2026-07-11. | Published to production DB and smoke-checked on taskcover.com on 2026-07-11."
"TC-034","batch-04-measurement-technical-seo","Measurement And Technical SEO","34","Wave 2","Supporting Cluster","Technical SEO & Audit","How to Prioritize SEO Audit Findings by Revenue Risk, Impact, and Effort","how-to-prioritize-seo-audit-findings-by-revenue-risk-impact-and-effort","prioritize SEO audit findings","/services/seo-audit","batch-04-measurement-technical-seo.md","received","passed","src/content/backfill/core56-batch-04-measurement-technical-seo.ts","imported-draft","published","https://taskcover.com/insights/technical-seo/how-to-prioritize-seo-audit-findings-by-revenue-risk-impact-and-effort","passed","Exact SERP intent and competitor-gap validation required | Batch 04 Claude output validated, converted, and imported as EN draft on 2026-07-11. | Published to production DB and smoke-checked on taskcover.com on 2026-07-11."
"TC-019","batch-05-content-topical-authority","Content, Topical Authority, Internal Links","19","Wave 2","Pillar","Content & Topical Authority","Topic Clusters and Topical Authority: How to Build a Content System That Compounds","topic-clusters-and-topical-authority-how-to-build-a-content-system-that-com","topic clusters SEO","/services/content-marketing","batch-05-content-topical-authority.md","received","passed","src/content/backfill/core56-batch-05-content-topical-authority.ts","imported-draft","published","https://taskcover.com/insights/content-authority/topic-clusters-and-topical-authority-how-to-build-a-content-system-that-com","passed","High authority/proof requirement | Batch 05 Claude output validated, converted, and imported as EN draft on 2026-07-11. | Published to production DB and smoke-checked on taskcover.com on 2026-07-11."
"TC-020","batch-05-content-topical-authority","Content, Topical Authority, Internal Links","20","Wave 2","Linkable Asset","Content & Topical Authority","Keyword Mapping and Cannibalization: How to Give Every Page a Clear Job","keyword-mapping-and-cannibalization-how-to-give-every-page-a-clear-job","keyword mapping","/services/content-marketing","batch-05-content-topical-authority.md","received","passed","src/content/backfill/core56-batch-05-content-topical-authority.ts","imported-draft","published","https://taskcover.com/insights/content-authority/keyword-mapping-and-cannibalization-how-to-give-every-page-a-clear-job","passed","Exact SERP intent and competitor-gap validation required | Batch 05 Claude output validated, converted, and imported as EN draft on 2026-07-11. | Published to production DB and smoke-checked on taskcover.com on 2026-07-11."
"TC-035","batch-05-content-topical-authority","Content, Topical Authority, Internal Links","35","Wave 2","Pillar","Content & Topical Authority","Content Audit and Decay: What to Update, Consolidate, Prune, or Keep","content-audit-and-decay-what-to-update-consolidate-prune-or-keep","content audit","/services/content-marketing","batch-05-content-topical-authority.md","received","passed","src/content/backfill/core56-batch-05-content-topical-authority.ts","imported-draft","published","https://taskcover.com/insights/content-authority/content-audit-and-decay-what-to-update-consolidate-prune-or-keep","passed","High authority/proof requirement | Batch 05 Claude output validated, converted, and imported as EN draft on 2026-07-11. | Published to production DB and smoke-checked on taskcover.com on 2026-07-11."
"TC-036","batch-05-content-topical-authority","Content, Topical Authority, Internal Links","36","Wave 2","Supporting Cluster","Content & Topical Authority","How to Build an SEO Content Brief for Google and AI Search","how-to-build-an-seo-content-brief-for-google-and-ai-search","SEO content brief","/services/content-marketing","batch-05-content-topical-authority.md","received","passed","src/content/backfill/core56-batch-05-content-topical-authority.ts","imported-draft","published","https://taskcover.com/insights/content-authority/how-to-build-an-seo-content-brief-for-google-and-ai-search","passed","Exact SERP intent and competitor-gap validation required | Batch 05 Claude output validated, converted, and imported as EN draft on 2026-07-11. | Published to production DB and smoke-checked on taskcover.com on 2026-07-11."
"TC-037","batch-05-content-topical-authority","Content, Topical Authority, Internal Links","37","Wave 2","Supporting Cluster","Content & Topical Authority","Internal Linking Strategy: How to Build Topic Authority and Move Users to Revenue Pages","internal-linking-strategy-how-to-build-topic-authority-and-move-users-to-re","internal linking strategy","/services/content-marketing","batch-05-content-topical-authority.md","received","passed","src/content/backfill/core56-batch-05-content-topical-authority.ts","imported-draft","published","https://taskcover.com/insights/content-authority/internal-linking-strategy-how-to-build-topic-authority-and-move-users-to-re","passed","Exact SERP intent and competitor-gap validation required | Batch 05 Claude output validated, converted, and imported as EN draft on 2026-07-11. | Published to production DB and smoke-checked on taskcover.com on 2026-07-11."
