articleId,groupId,creationKey,source,status,publishedRevisionId,slug,category,blockCount,directAnswerCount,duplicateOpeningParagraph,faqHeadingCount,faqBlockCount,duplicateFaqProseDuplicatedItems,duplicateFaqProseTotalItems,faqProseRedundancyParagraphCount,markdownPipeTableParagraphCount,markdownPipeTableAmbiguousCount,internalWorkflowPhraseMatchCount,factCheckStatus,sourceCount,claimCount,sourcesWithNoClaimMapping,relatedArticleSlugCount,bodyVisualCount,metadataWarnings,slugWarning,validationError
TC-001,27477b14-6eca-425a-8e8f-b4d457c7a63b,core56-tc-001,published-db,published,e947cae5-1992-4ff6-8453-3b447ddbe4fb,seo-2026-google-ai-search-revenue-growth,seo-guides,31,1,false,1,1,,,0,0,0,0,checked,5,5,0,3,0,,,
TC-006,f49c1905-6c08-41e4-b219-07b8abb07379,core56-tc-006,published-db,published,70691c7a-85ef-4c35-9fd7-f269d0c95987,content-rankings-ai-citations-leads,content-authority,33,1,false,1,1,,,0,0,0,0,checked,5,5,2,3,0,,,
TC-007,b23b72e6-8f04-4198-a24c-a8de16266775,core56-tc-007,published-db,published,8b701dce-2001-4374-a23f-9eb84d4bf513,generative-engine-optimization-geo-a-practical-guide-for-business-growth,ai-search,53,1,true,2,1,,,4,2,0,2,needs-review,5,1,0,0,0,metaDescription too-long (167 chars),,
TC-002,0d6cdf05-37f7-4f0a-9052-254ebb2d73fc,core56-tc-002,published-db,published,4eb9a02f-8ceb-4ad3-9ddf-c54effa52276,how-to-measure-ai-search-visibility-across-chatgpt-gemini-perplexity-and-go,ai-search,49,1,true,2,1,,,4,1,0,2,needs-review,4,1,0,0,0,metaDescription too-long (167 chars),"length=75, likely mid-word cut",
TC-008,191ff4c9-4ca4-41cf-8d33-13192b666c10,core56-tc-008,published-db,published,adde785c-b40d-45ef-a79c-89c5d1bd7082,geo-vs-seo-vs-aeo-what-is-different-what-overlaps-and-what-should-you-fund,ai-search,51,1,true,2,1,,,4,2,0,2,needs-review,5,1,0,0,0,,,
TC-009,e1f2545d-e74c-4555-9722-3bf978c41480,core56-tc-009,published-db,published,662d9218-26cb-410a-9bdd-b04884fc5acf,how-to-get-your-brand-mentioned-in-chatgpt-gemini-perplexity-and-google-ai,ai-search,41,1,true,2,1,,,4,0,0,2,needs-review,5,1,0,0,0,,,
TC-010,b06db6be-6bdb-4242-900f-948cf206b3d2,core56-tc-010,published-db,published,b0ce60a5-d82e-45c9-b313-8a378fc30110,ai-search-visibility-audit-a-30-point-checklist-for-brands,ai-search,52,1,true,2,1,,,4,1,0,2,needs-review,4,1,0,0,0,metaDescription too-long (168 chars),,
TC-003,a308a3ee-353e-4bab-a3fb-cf6dc4805f6d,core56-tc-003,published-db,published,af347b98-36bb-4694-bb04-47eb410e19d0,technical-seo-audit-checklist-for-growing-websites,technical-seo,51,1,true,2,1,,,4,2,0,2,needs-review,4,1,0,0,0,,,
TC-004,310b6da0-b325-4b92-9d4f-4876b29a108c,core56-tc-004,published-db,published,d24c571e-7a4b-484c-84a4-a6a0579719ac,seo-vs-ppc-how-to-build-a-search-growth-system-instead-of-choosing-one-chan,seo-guides,45,1,true,2,1,,,4,1,0,2,needs-review,2,1,0,0,0,,length=75,
TC-005,9a5c1073-7689-4bca-a30d-9a736cb9b2ca,core56-tc-005,published-db,published,8d521d7b-015a-452f-b857-e30321a8edc3,international-seo-for-the-usa-canada-and-australia,local-international-seo,42,1,true,2,1,,,4,1,0,2,needs-review,3,1,0,0,0,metaDescription too-long (164 chars),,
