articleId,liveUrl,issue,affectedField,recommendedOwner,recommendedNextSprint,severity,blockingStatus
TC-001,https://taskcover.com/insights/seo-guides/seo-2026-google-ai-search-revenue-growth,No body image or explanatory visual.,blocks (image/video),Design / content ops,S01 (content quality),low,not-blocked
TC-006,https://taskcover.com/insights/content-authority/content-rankings-ai-citations-leads,2 source(s) are recorded but not mapped to any claim or evidence block.,contentEvidence.sources,Editorial / fact-check,S01 (content quality),medium,not-blocked
TC-006,https://taskcover.com/insights/content-authority/content-rankings-ai-citations-leads,No body image or explanatory visual.,blocks (image/video),Design / content ops,S01 (content quality),low,not-blocked
TC-007,https://taskcover.com/insights/ai-search/generative-engine-optimization-geo-a-practical-guide-for-business-growth,"4 prose paragraph(s) open with an FAQ question but paraphrase (not exactly repeat) the structured FAQ answer — presented twice in different wording, needs manual reconciliation rather than auto-merge.",faq block / prose FAQ section,Content ops,S00 follow-up (hygiene),medium,not-blocked
TC-007,https://taskcover.com/insights/ai-search/generative-engine-optimization-geo-a-practical-guide-for-business-growth,No body image or explanatory visual.,blocks (image/video),Design / content ops,S01 (content quality),low,not-blocked
TC-007,https://taskcover.com/insights/ai-search/generative-engine-optimization-geo-a-practical-guide-for-business-growth,No related article slugs — missing internal link graph.,internalLinking.relatedArticleSlugs,Content ops,S01 (internal linking),low,not-blocked
TC-007,https://taskcover.com/insights/ai-search/generative-engine-optimization-geo-a-practical-guide-for-business-growth,Metadata length warning(s): metaDescription too-long (167 chars) — rewriting requires SERP-intent judgment.,metadata.metaTitle / metadata.metaDescription,SEO lead,S01 (metadata pass),low,not-blocked
TC-002,https://taskcover.com/insights/ai-search/how-to-measure-ai-search-visibility-across-chatgpt-gemini-perplexity-and-go,"4 prose paragraph(s) open with an FAQ question but paraphrase (not exactly repeat) the structured FAQ answer — presented twice in different wording, needs manual reconciliation rather than auto-merge.",faq block / prose FAQ section,Content ops,S00 follow-up (hygiene),medium,not-blocked
TC-002,https://taskcover.com/insights/ai-search/how-to-measure-ai-search-visibility-across-chatgpt-gemini-perplexity-and-go,No body image or explanatory visual.,blocks (image/video),Design / content ops,S01 (content quality),low,not-blocked
TC-002,https://taskcover.com/insights/ai-search/how-to-measure-ai-search-visibility-across-chatgpt-gemini-perplexity-and-go,No related article slugs — missing internal link graph.,internalLinking.relatedArticleSlugs,Content ops,S01 (internal linking),low,not-blocked
TC-002,https://taskcover.com/insights/ai-search/how-to-measure-ai-search-visibility-across-chatgpt-gemini-perplexity-and-go,"Slug likely truncated (length=75, likely mid-word cut). Changing live slugs is out of scope for S00.",slug,SEO lead,S01 (requires redirect plan),medium,not-blocked
TC-002,https://taskcover.com/insights/ai-search/how-to-measure-ai-search-visibility-across-chatgpt-gemini-perplexity-and-go,Metadata length warning(s): metaDescription too-long (167 chars) — rewriting requires SERP-intent judgment.,metadata.metaTitle / metadata.metaDescription,SEO lead,S01 (metadata pass),low,not-blocked
TC-008,https://taskcover.com/insights/ai-search/geo-vs-seo-vs-aeo-what-is-different-what-overlaps-and-what-should-you-fund,"4 prose paragraph(s) open with an FAQ question but paraphrase (not exactly repeat) the structured FAQ answer — presented twice in different wording, needs manual reconciliation rather than auto-merge.",faq block / prose FAQ section,Content ops,S00 follow-up (hygiene),medium,not-blocked
TC-008,https://taskcover.com/insights/ai-search/geo-vs-seo-vs-aeo-what-is-different-what-overlaps-and-what-should-you-fund,No body image or explanatory visual.,blocks (image/video),Design / content ops,S01 (content quality),low,not-blocked
TC-008,https://taskcover.com/insights/ai-search/geo-vs-seo-vs-aeo-what-is-different-what-overlaps-and-what-should-you-fund,No related article slugs — missing internal link graph.,internalLinking.relatedArticleSlugs,Content ops,S01 (internal linking),low,not-blocked
TC-009,https://taskcover.com/insights/ai-search/how-to-get-your-brand-mentioned-in-chatgpt-gemini-perplexity-and-google-ai,"4 prose paragraph(s) open with an FAQ question but paraphrase (not exactly repeat) the structured FAQ answer — presented twice in different wording, needs manual reconciliation rather than auto-merge.",faq block / prose FAQ section,Content ops,S00 follow-up (hygiene),medium,not-blocked
TC-009,https://taskcover.com/insights/ai-search/how-to-get-your-brand-mentioned-in-chatgpt-gemini-perplexity-and-google-ai,No body image or explanatory visual.,blocks (image/video),Design / content ops,S01 (content quality),low,not-blocked
TC-009,https://taskcover.com/insights/ai-search/how-to-get-your-brand-mentioned-in-chatgpt-gemini-perplexity-and-google-ai,No related article slugs — missing internal link graph.,internalLinking.relatedArticleSlugs,Content ops,S01 (internal linking),low,not-blocked
TC-010,https://taskcover.com/insights/ai-search/ai-search-visibility-audit-a-30-point-checklist-for-brands,"4 prose paragraph(s) open with an FAQ question but paraphrase (not exactly repeat) the structured FAQ answer — presented twice in different wording, needs manual reconciliation rather than auto-merge.",faq block / prose FAQ section,Content ops,S00 follow-up (hygiene),medium,not-blocked
TC-010,https://taskcover.com/insights/ai-search/ai-search-visibility-audit-a-30-point-checklist-for-brands,No body image or explanatory visual.,blocks (image/video),Design / content ops,S01 (content quality),low,not-blocked
TC-010,https://taskcover.com/insights/ai-search/ai-search-visibility-audit-a-30-point-checklist-for-brands,No related article slugs — missing internal link graph.,internalLinking.relatedArticleSlugs,Content ops,S01 (internal linking),low,not-blocked
TC-010,https://taskcover.com/insights/ai-search/ai-search-visibility-audit-a-30-point-checklist-for-brands,Metadata length warning(s): metaDescription too-long (168 chars) — rewriting requires SERP-intent judgment.,metadata.metaTitle / metadata.metaDescription,SEO lead,S01 (metadata pass),low,not-blocked
TC-003,https://taskcover.com/insights/technical-seo/technical-seo-audit-checklist-for-growing-websites,"4 prose paragraph(s) open with an FAQ question but paraphrase (not exactly repeat) the structured FAQ answer — presented twice in different wording, needs manual reconciliation rather than auto-merge.",faq block / prose FAQ section,Content ops,S00 follow-up (hygiene),medium,not-blocked
TC-003,https://taskcover.com/insights/technical-seo/technical-seo-audit-checklist-for-growing-websites,No body image or explanatory visual.,blocks (image/video),Design / content ops,S01 (content quality),low,not-blocked
